node_id,industry_id,industry_name
0,0,Cultivation of paddy rice
1,1,Cultivation of wheat
2,2,Cultivation of cereal grains nec
3,3,"Cultivation of vegetables, fruit, nuts"
4,4,Cultivation of oil seeds
5,5,"Cultivation of sugar cane, sugar beet"
6,6,Cultivation of plant-based fibers
7,7,Cultivation of crops nec
8,8,Cattle farming
9,9,Pigs farming
10,10,Poultry farming
11,11,Meat animals nec
12,12,Animal products nec
13,13,Raw milk
14,14,"Wool, silk-worm cocoons"
15,15,"Manure treatment (conventional), storage and land application"
16,16,"Manure treatment (biogas), storage and land application"
17,17,"Forestry, logging and related service activities (02)"
18,18,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
19,19,Mining of coal and lignite; extraction of peat (10)
20,20,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
21,21,"Extraction of natural gas and services related to natural gas extraction, excluding surveying"
22,22,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
23,23,Mining of uranium and thorium ores (12)
24,24,Mining of iron ores
25,25,Mining of copper ores and concentrates
26,26,Mining of nickel ores and concentrates
27,27,Mining of aluminium ores and concentrates
28,28,Mining of precious metal ores and concentrates
29,29,"Mining of lead, zinc and tin ores and concentrates"
30,30,Mining of other non-ferrous metal ores and concentrates
31,31,Quarrying of stone
32,32,Quarrying of sand and clay
33,33,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
34,34,Processing of meat cattle
35,35,Processing of meat pigs
36,36,Processing of meat poultry
37,37,Production of meat products nec
38,38,Processing vegetable oils and fats
39,39,Processing of dairy products
40,40,Processed rice
41,41,Sugar refining
42,42,Processing of Food products nec
43,43,Manufacture of beverages
44,44,Manufacture of fish products
45,45,Manufacture of tobacco products (16)
46,46,Manufacture of textiles (17)
47,47,Manufacture of wearing apparel; dressing and dyeing of fur (18)
48,48,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
49,49,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
50,50,Re-processing of secondary wood material into new wood material
51,51,Pulp
52,52,Re-processing of secondary paper into new pulp
53,53,Paper
54,54,"Publishing, printing and reproduction of recorded media (22)"
55,55,Manufacture of coke oven products
56,56,Petroleum Refinery
57,57,Processing of nuclear fuel
58,58,"Plastics, basic"
59,59,Re-processing of secondary plastic into new plastic
60,60,N-fertiliser
61,61,P- and other fertiliser
62,62,Chemicals nec
63,63,Manufacture of rubber and plastic products (25)
64,64,Manufacture of glass and glass products
65,65,Re-processing of secondary glass into new glass
66,66,Manufacture of ceramic goods
67,67,"Manufacture of bricks, tiles and construction products, in baked clay"
68,68,"Manufacture of cement, lime and plaster"
69,69,Re-processing of ash into clinker
70,70,Manufacture of other non-metallic mineral products n.e.c.
71,71,Manufacture of basic iron and steel and of ferro-alloys and first products thereof
72,72,Re-processing of secondary steel into new steel
73,73,Precious metals production
74,74,Re-processing of secondary preciuos metals into new preciuos metals
75,75,Aluminium production
76,76,Re-processing of secondary aluminium into new aluminium
77,77,"Lead, zinc and tin production"
78,78,"Re-processing of secondary lead into new lead, zinc and tin"
79,79,Copper production
80,80,Re-processing of secondary copper into new copper
81,81,Other non-ferrous metal production
82,82,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
83,83,Casting of metals
