,0
"('AT', 'Cultivation of paddy rice')",0.0
"('AT', 'Cultivation of wheat')",488.043332112
"('AT', 'Cultivation of cereal grains nec')",983.11697327
"('AT', 'Cultivation of vegetables, fruit, nuts')",2764.54836228
"('AT', 'Cultivation of oil seeds')",311.17504102
"('AT', 'Cultivation of sugar cane, sugar beet')",152.628450308
"('AT', 'Cultivation of plant-based fibers')",1.57631128832
"('AT', 'Cultivation of crops nec')",6.66840730907
"('AT', 'Cattle farming')",1514.2121091
"('AT', 'Pigs farming')",944.90574821
"('AT', 'Poultry farming')",754.687096074
"('AT', 'Meat animals nec')",46.5515440694
"('AT', 'Animal products nec')",26.354235263
"('AT', 'Raw milk')",1610.56743836
"('AT', 'Wool, silk-worm cocoons')",0.186801114397
"('AT', 'Manure treatment (conventional), storage and land application')",0.0
"('AT', 'Manure treatment (biogas), storage and land application')",0.0
"('AT', 'Forestry, logging and related service activities (02)')",3601.3776317
"('AT', 'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)')",127.613794424
"('AT', 'Mining of coal and lignite; extraction of peat (10)')",3.12348096308
"('AT', 'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying')",1559.81730301
"('AT', 'Extraction of natural gas and services related to natural gas extraction, excluding surveying')",664.527985426
"('AT', 'Extraction, liquefaction, and regasification of other petroleum and gaseous materials')",0.0
"('AT', 'Mining of uranium and thorium ores (12)')",0.0
"('AT', 'Mining of iron ores')",13.769361062
"('AT', 'Mining of copper ores and concentrates')",0.0
"('AT', 'Mining of nickel ores and concentrates')",0.0
"('AT', 'Mining of aluminium ores and concentrates')",0.0
"('AT', 'Mining of precious metal ores and concentrates')",0.0
"('AT', 'Mining of lead, zinc and tin ores and concentrates')",0.0
"('AT', 'Mining of other non-ferrous metal ores and concentrates')",1335.58651001
"('AT', 'Quarrying of stone')",400.085985041
"('AT', 'Quarrying of sand and clay')",171.098844009
"('AT', 'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.')",72.1372529698
"('AT', 'Processing of meat cattle')",2253.57532263
"('AT', 'Processing of meat pigs')",2142.10212317
"('AT', 'Processing of meat poultry')",933.753966533
"('AT', 'Production of meat products nec')",178.044419411
"('AT', 'Processing vegetable oils and fats')",206.364524623
"('AT', 'Processing of dairy products')",7070.23379302
"('AT', 'Processed rice')",8.44103221566
"('AT', 'Sugar refining')",635.914550791
"('AT', 'Processing of Food products nec')",26165.6686359
"('AT', 'Manufacture of beverages')",10304.9757711
"('AT', 'Manufacture of fish products')",153.335806501
"('AT', 'Manufacture of tobacco products (16)')",452.252385788
"('AT', 'Manufacture of textiles (17)')",4867.18606535
"('AT', 'Manufacture of wearing apparel; dressing and dyeing of fur (18)')",1993.21438599
