"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('CN', 'Production of electricity by coal')","0.424992938476085","0.424900301806199","0.00805409927788298"
"('CN', 'Steam and hot water supply')","0.420140648889647","0.42013898957567","0.000844473839780499"
"('CN', 'Manufacture of ceramic goods')","0.417341097620569","0.417307800354024","0.010826926710181"
"('CN', 'Mining of coal and lignite; extraction of peat (10)')","0.416317177859147","0.416084246814419","0.0118876611780347"
"('CN', 'Manufacture of furniture; manufacturing n.e.c. (36)')","0.412955692633576","0.412888837823303","0.0124287171731179"
"('CN', 'Aluminium production')","0.403730488208617","0.403709494919911","0.00706300891932967"
"('CN', 'Manufacture of coke oven products')","0.402950059489019","0.402916683588525","0.00325960388681587"
"('CN', 'Manufacture of glass and glass products')","0.396737920731807","0.39671854861647","0.00924984998216077"
"('CN', 'Manufacture of other non-metallic mineral products n.e.c.')","0.396568036714551","0.3965371353048","0.00717917699382672"
"('CN', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')","0.396242253850632","0.396146896436944","0.0268895036516068"
"('CN', 'Other non-ferrous metal production')","0.396163990559395","0.396136373598271","0.00193638023567914"
"('CN', 'Lead, zinc and tin production')","0.366627329024299","0.366622605169931","0.00127765890892135"
"('CN', 'Production of electricity by hydro')","0.309984023085469","0.309981761959272","0.00120190150906782"
"('CN', 'Research and development (73)')","0.29188462712646","0.291821862728902","0.00909185536575232"
"('CN', 'Manufacture of rubber and plastic products (25)')","0.279052932070795","0.278772276636697","0.0225342786543949"
"('CN', 'Production of electricity by solar photovoltaic')","0.261365296405491","0.261365086103797","0.000236456543046873"
"('CN', 'Transmission of electricity')","0.245324715686076","0.245313228795541","0.003086624615649"
"('CN', 'Production of electricity by wind')","0.222349930602261","0.222349318962971","0.000415130555233092"
"('CN', 'Transport via railways')","0.213393665482301","0.213378306813928","0.00432780725664448"
"('CN', 'Plastics, basic')","0.202107929098623","0.201819592677188","0.0109970744052203"
"('US', 'Activities auxiliary to financial intermediation (67)')","0.187935783801782","0.187929675879216","0.00870244582110367"
"('US', 'Real estate activities (70)')","0.177106112926442","0.176820879858213","0.0306979675602947"
"('CN', 'Casting of metals')","0.175305479401722","0.175293552913747","0.00273332448041404"
"('CN', 'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)')","0.162356073472517","0.162254163552778","0.0128754984636753"
"('CN', 'Precious metals production')","0.160200159426718","0.160192582860458","0.00102384041546245"
"('CN', 'Manufacture of cement, lime and plaster')","0.15005785396898","0.150021062729785","0.0053198661833804"
"('CN', 'Retail sale of automotive fuel')","0.14524356498532","0.145231415768138","0.000844964233614245"
"('CN', 'Financial intermediation, except insurance and pension funding (65)')","0.141741414606083","0.141719938608085","0.0122971231544784"
"('US', 'Insurance and pension funding, except compulsory social security (66)')","0.139638862882947","0.138907823058947","0.0166991895413768"
"('CN', 'Inland water transport')","0.13946791694873","0.139466424045998","0.000391458713228926"
"('CN', 'Petroleum Refinery')","0.130568473033524","0.126108745704141","0.0224268459308526"
"('US', 'Post and telecommunications (64)')","0.120181235156086","0.120133862333778","0.0125088939981634"
"('CN', 'Distribution and trade of electricity')","0.11888607930606","0.118871743073073","0.0037237622762681"
"('CN', 'Sea and coastal water transport')","0.118318720659584","0.118247497350918","0.0041230473606353"
"('CN', 'Hotels and restaurants (55)')","0.117162168575246","0.117004147083719","0.0124753135812879"
"('CN', 'Recycling of waste and scrap')","0.116414799448451","0.11641478574858","2.57807025388197e-05"
"('CN', 'Manufacture of other transport equipment (35)')","0.109049442353369","0.109013139319228","0.00504726199953536"
"('CN', 'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)')","0.108457312091581","0.108061633927845","0.00489335272509021"
"('CN', 'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)')","0.10256341325242","0.102396420287457","0.0189997934211426"
"('CN', 'Air transport (62)')","0.101146679422509","0.10111610713787","0.00458982359620606"
"('CN', 'Real estate activities (70)')","0.0966257541095005","0.0965834050897455","0.0123406385527686"
