"country_sector_vec","ESRI_weight_1","ESRI_d_weight_1","ESRI_u_weight_1"
"('CN', 'Mining of coal and lignite; extraction of peat (10)')","0.259785257939772","0.258573752401241","0.0121262947459867"
"('CN', 'Manufacture of glass and glass products')","0.258862029353443","0.258664631870091","0.0094126290502366"
"('CN', 'Other non-ferrous metal production')","0.258652492968222","0.25859647011791","0.00192014592452682"
"('CN', 'Manufacture of ceramic goods')","0.259020065767603","0.25859750086132","0.0109817423998537"
"('CN', 'Aluminium production')","0.258935443954385","0.258605786036283","0.00713353269132556"
"('CN', 'Manufacture of coke oven products')","0.258667387806341","0.25864219755914","0.003322086505322"
"('CN', 'Steam and hot water supply')","0.258703370483666","0.258699857473439","0.000852843875850315"
"('CN', 'Manufacture of furniture; manufacturing n.e.c. (36)')","0.0128364856319773","0.00591256872621463","0.0123699769666341"
"('CN', 'Production of electricity by coal')","0.260515473561578","0.260186209410198","0.00812897506295612"
"('CN', 'Manufacture of basic iron and steel and of ferro-alloys and first products thereof')","0.260052380878754","0.258643363813101","0.0273165590969843"
"('CN', 'Manufacture of other non-metallic mineral products n.e.c.')","0.258715857817132","0.258595959731931","0.0072225200307877"
"('CN', 'Lead, zinc and tin production')","0.258686048767903","0.258677757897858","0.00128446022737906"
"('CN', 'Research and development (73)')","0.00884193828132515","0.00528612065449174","0.00883019763709309"
"('CN', 'Production of electricity by hydro')","0.201025813810377","0.201020322485171","0.00121873727532179"
"('CN', 'Transmission of electricity')","0.187063302856833","0.187054246727435","0.0031430768650124"
"('CN', 'Production of electricity by solar photovoltaic')","0.196011440788412","0.196010947935133","0.000236090882835158"
"('CN', 'Manufacture of rubber and plastic products (25)')","0.119194452672224","0.117089060048224","0.0224922256733013"
"('CN', 'Production of electricity by wind')","0.162554505225374","0.162553094080236","0.00041868908003077"
"('CN', 'Plastics, basic')","0.150975533024289","0.149813386562851","0.0111062361281074"
"('CN', 'Transport via railways')","0.146538876250068","0.146225287043529","0.0043785019786093"
